Year,Month,Decimal Date,co2,Seasonally Adjusted CO2,Carbon Dioxide Fit (ppm),Seasonally Adjusted CO2 Fit (ppm)
1958,3,1958.2027,315.69,314.42,316.18,314.89
1958,4,1958.2877,317.45,315.15,317.3,314.98
1958,5,1958.3699,317.5,314.73,317.83,315.06
1958,6,1958.4548,,,317.22,315.14
1958,7,1958.5370,315.86,315.17,315.87,315.21
1958,8,1958.6219,314.93,316.17,314.01,315.29
1958,9,1958.7068,313.21,316.06,312.48,315.35
1958,10,1958.7890,,,312.45,315.4
1958,11,1958.8740,313.33,315.2,313.61,315.46
1958,12,1958.9562,314.67,315.44,314.75,315.51
1959,1,1959.0411,315.58,315.56,315.6,315.57
1959,2,1959.1260,316.48,315.88,316.24,315.63
1959,3,1959.2027,316.65,315.37,316.98,315.69
1959,4,1959.2877,317.72,315.41,318.09,315.76
1959,5,1959.3699,318.29,315.51,318.62,315.84
1959,6,1959.4548,318.15,316.04,318.02,315.93
1959,7,1959.5370,316.54,315.85,316.68,316.02
1959,8,1959.6219,314.8,316.04,314.84,316.12
1959,9,1959.7068,313.84,316.7,313.33,316.21
1959,10,1959.7890,313.34,316.31,313.34,316.3
1959,11,1959.8740,314.81,316.69,314.53,316.39
1959,12,1959.9562,315.58,316.36,315.71,316.47
1960,1,1960.0410,316.43,316.41,316.58,316.56
1960,2,1960.1257,316.97,316.37,317.25,316.64
1960,3,1960.2049,317.58,316.27,318.04,316.72
1960,4,1960.2896,319.03,316.69,319.15,316.8
1960,5,1960.3716,320.03,317.24,319.65,316.87
1960,6,1960.4563,319.59,317.49,319.01,316.93
1960,7,1960.5383,318.18,317.51,317.62,316.98
1960,8,1960.6230,315.9,317.18,315.71,317.01
1960,9,1960.7077,314.17,317.05,314.14,317.04
1960,10,1960.7896,313.83,316.82,314.1,317.07
1960,11,1960.8743,315,316.88,315.24,317.1
1960,12,1960.9563,316.19,316.97,316.38,317.14
1961,1,1961.0411,316.9,316.88,317.22,317.19
1961,2,1961.1260,317.7,317.09,317.87,317.26
1961,3,1961.2027,318.54,317.25,318.63,317.32
1961,4,1961.2877,319.48,317.15,319.75,317.41
1961,5,1961.3699,320.58,317.78,320.3,317.49
1961,6,1961.4548,319.77,317.65,319.69,317.59
1961,7,1961.5370,318.57,317.87,318.34,317.67
1961,8,1961.6219,316.79,318.05,316.47,317.76
1961,9,1961.7068,314.99,317.87,314.94,317.84
1961,10,1961.7890,315.31,318.31,314.93,317.92
1961,11,1961.8740,316.1,317.99,316.12,317.99
1961,12,1961.9562,317.01,317.79,317.29,318.06
1962,1,1962.0411,317.94,317.92,318.15,318.12
1962,2,1962.1260,318.55,317.94,318.81,318.19
